strategy,metric,value
random,precision_at_k,0
random,recall_at_k,0
random,ndcg_at_k,0
random,coverage,0.05405405405405406
random,diversity,0.4415268729362073
popularity,precision_at_k,0.2
popularity,recall_at_k,0.6666666666666666
popularity,ndcg_at_k,0.49818925746641285
popularity,coverage,0.021621621621621623
popularity,diversity,0.4289271212546539
content-based,precision_at_k,0
content-based,recall_at_k,0
content-based,ndcg_at_k,0
content-based,coverage,0.05405405405405406
content-based,diversity,0.25125409554776273
collaborative,precision_at_k,0
collaborative,recall_at_k,0
collaborative,ndcg_at_k,0
collaborative,coverage,0
collaborative,diversity,0
hybrid,precision_at_k,0.1
hybrid,recall_at_k,0.3333333333333333
hybrid,ndcg_at_k,0.2960819109658652
hybrid,coverage,0.05405405405405406
hybrid,diversity,0.333786616798113
hybrid-no-content,precision_at_k,0.2
hybrid-no-content,recall_at_k,0.6666666666666666
hybrid-no-content,ndcg_at_k,0.49818925746641285
hybrid-no-content,coverage,0.05405405405405406
hybrid-no-content,diversity,0.415438597875025
hybrid-no-collaborative,precision_at_k,0.1
hybrid-no-collaborative,recall_at_k,0.3333333333333333
hybrid-no-collaborative,ndcg_at_k,0.2960819109658652
hybrid-no-collaborative,coverage,0.05405405405405406
hybrid-no-collaborative,diversity,0.333786616798113
hybrid-no-popularity,precision_at_k,0
hybrid-no-popularity,recall_at_k,0
hybrid-no-popularity,ndcg_at_k,0
hybrid-no-popularity,coverage,0.05405405405405406
hybrid-no-popularity,diversity,0.25125409554776273
